word,POS,NEG,value,prop
급급,0.0,1.0,NEG,1.0
급기야,0.0,0.0,None,1.0
급속히,0.0,1.0,NEG,1.0
긍정,1.0,0.0,POS,1.0
기,0.325842697,0.157303371,None,0.449438202
기강,0.0,1.0,NEG,1.0
기구,0.0,1.0,NEG,1.0
기금,1.0,0.0,POS,1.0
기나길,1.0,0.0,POS,1.0
기냥,0.0,1.0,NEG,1.0
기념,1.0,0.0,POS,1.0
기능,1.0,0.0,POS,1.0
기다리,1.0,0.0,POS,1.0
기대,1.0,0.0,POS,1.0
기대주,1.0,0.0,POS,1.0
기도,1.0,0.0,POS,1.0
기량,1.0,0.0,POS,1.0
기록,1.0,0.0,POS,1.0
기만,0.0,1.0,NEG,1.0
기반,1.0,0.0,POS,1.0
기본,1.0,0.0,POS,1.0
기분,0.0,0.5,NEG,0.5
기뻐하,1.0,0.0,POS,1.0
기쁘,1.0,0.0,POS,1.0
기쁨,1.0,0.0,POS,1.0
기색,0.0,0.0,COMP,1.0
기소,0.0,1.0,NEG,1.0
기술,0.0,1.0,NEG,1.0
기약,0.0,1.0,NEG,1.0
기억,0.0,0.0,NEUT,1.0
기억나,1.0,0.0,POS,1.0
기업,0.5,0.5,NEG,0.5
기여,1.0,0.0,POS,1.0
기운,1.0,0.0,POS,1.0
기울이,0.0,1.0,NEG,1.0
기적,1.0,0.0,POS,1.0
기존,1.0,0.0,POS,1.0
기준,0.0,1.0,NEG,1.0
기증,1.0,0.0,POS,1.0
기초,1.0,0.0,POS,1.0
기피,0.0,0.5,NEG,0.5
기형아,0.0,1.0,NEG,1.0
기회,1.0,0.0,POS,1.0
기회주의,0.0,1.0,NEG,1.0
기획,1.0,0.0,POS,1.0
기획물,0.0,1.0,NEG,1.0
긴급,0.0,1.0,NEG,1.0
긴박,1.0,0.0,POS,1.0
긴장,0.0,1.0,NEG,1.0
긴장감,0.0,1.0,NEG,1.0
길,0.375,0.625,NEG,0.625
길들이,1.0,0.0,POS,1.0
길이,1.0,0.0,POS,1.0
김,0.0,0.0,None,1.0
깃들,1.0,0.0,POS,1.0
깃발,1.0,0.0,POS,1.0
깊,0.25,0.75,NEG,0.75
까다롭,0.0,1.0,NEG,1.0
까닭,0.5,0.0,NEUT,0.5
까맣,0.0,1.0,NEG,1.0
까먹,0.0,0.0,NEUT,1.0
까지,0.181818182,0.13636363599999998,None,0.681818182
깎,0.0,1.0,NEG,1.0
깎아지르,0.0,1.0,NEG,1.0
깔리,0.5,0.0,NEUT,0.5
깜깜,0.0,1.0,NEG,1.0
깜찍,0.0,0.0,COMP,1.0
깨,0.5,0.0,NEUT,0.5
깨끗,1.0,0.0,POS,1.0
깨닫,0.75,0.25,POS,0.75
깨우치,1.0,0.0,POS,1.0
깨치,0.5,0.5,NEG,0.5
꺼내,0.0,0.333333333,COMP,0.333333333
꺼리,0.0,1.0,NEG,1.0
꺼멓,0.0,1.0,NEG,1.0
꺾이,0.0,1.0,NEG,1.0
껍데기,0.0,1.0,NEG,1.0
껍질,0.0,1.0,NEG,1.0
께,0.0,1.0,NEG,1.0
꼬,0.0,1.0,NEG,1.0
꼭,0.666666667,0.0,POS,0.666666667
꼴,0.0,0.0,None,1.0
꼼꼼,1.0,0.0,POS,1.0
꼽,1.0,0.0,POS,1.0
꼽히,1.0,0.0,POS,1.0
꽃,1.0,0.0,POS,1.0
꽃잎,1.0,0.0,POS,1.0
꽤,1.0,0.0,POS,1.0
꾸,0.0,0.0,NEUT,1.0
꾸미,1.0,0.0,POS,1.0
꾸준히,0.5,0.5,NEG,0.5
꾸짖,0.0,1.0,NEG,1.0
꾼,0.0,1.0,NEG,1.0
꿀,0.0,1.0,NEG,1.0
꿀단지,0.0,1.0,NEG,1.0
꿀통,0.0,1.0,NEG,1.0
꿈,0.428571429,0.0,NEUT,0.428571429
꿈꾸,0.5,0.5,NEG,0.5
끄덕이,1.0,0.0,POS,1.0
끈끈,0.0,1.0,NEG,1.0
끈적끈적,0.0,0.0,NEUT,1.0
끊,0.666666667,0.333333333,POS,0.666666667
끊기,0.0,1.0,NEG,1.0
끊임없이,0.5,0.0,COMP,0.5
끌,1.0,0.0,POS,1.0
끌어당기,1.0,0.0,POS,1.0
끝,0.4,0.4,NEG,0.4
끝내,0.0,1.0,NEG,1.0
끼,1.0,0.0,POS,1.0
ㄴ,0.474048443,0.370242215,POS,0.474048443
ㄴ가,0.0,0.333333333,None,0.5
ㄴ다,1.0,0.0,POS,1.0
ㄴ다고,0.25,0.375,NEG,0.375
ㄴ다는,0.444444444,0.444444444,NEG,0.444444444
ㄴ다며,1.0,0.0,POS,1.0
ㄴ다면,0.0,0.0,None,1.0
ㄴ다지만,0.0,0.0,None,1.0
ㄴ답니다,1.0,0.0,POS,1.0
ㄴ데,0.0,0.0,None,1.0
ㄴ들,1.0,0.0,POS,1.0
ㄴ듯,0.5,0.0,None,0.5
ㄴ지,0.0,0.333333333,None,0.5
나,0.0,1.0,NEG,1.0
나가,0.5,0.25,POS,0.5
나귀,0.0,1.0,NEG,1.0
나누,0.666666667,0.0,POS,0.666666667
나돌,0.0,1.0,NEG,1.0
나라,0.5,0.5,NEG,0.5
나름,1.0,0.0,POS,1.0
나무,0.5,0.5,NEG,0.5
나무라,0.0,1.0,NEG,1.0
나비,0.0,0.25,NEUT,0.75
나쁘,0.0,1.0,NEG,1.0
나서,0.833333333,0.166666667,POS,0.833333333
나아가,0.5,0.0,None,0.5
나약,1.0,0.0,POS,1.0
나오,0.5,0.428571429,POS,0.5
나요,0.0,1.0,NEG,1.0
나이,0.4,0.2,COMP,0.4
나중,1.0,0.0,POS,1.0
나타나,1.0,0.0,POS,1.0
나타내,0.5,0.5,NEG,0.5
낙천,0.0,0.0,COMP,1.0
낙후,0.0,1.0,NEG,1.0
난리,0.0,1.0,NEG,1.0
